name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX,id
Donny Walker,1147.64,6/29/2013 2:24,1351.81,1132.73,25,e6147d5ab3685899
Rolando Perez,1147.51,5/15/2015 2:52,1210.31,1086.72,14,4a9e305633f3ef47
Nick Ertl,1147.39,1/13/2006 0:43,1212.13,1142.27,14,74061adb224be3cc
Royston Wee,1147.27,5/16/2015 0:43,1192.53,1094.9,5,b9c03e7a4557e542
Chris Avila,1146.77,5/6/2006 1:26,1190.07,1091.87,5,4665cbf36b08193b
Harris Sarmiento,1146.69,3/14/2014 0:28,1336.19,1118.23,62,026b4f7049085842
Mu Bae Choi,1146.61,8/12/2017 2:38,1306.61,1154.32,19,371a1c91b24dec2b
Jamie Colleen,1146.4,7/17/2018 1:12,1195.06,1171.57,6,6b64db453edf4c50
Rory Singer,1146.26,2/20/2009 1:40,1276.37,1113.46,27,546015aa2ad945fd
Coty Wheeler,1145.93,5/12/2012 1:55,1336.71,1094.15,19,e57f0b06ea39e360
Fabio Silva,1145.89,4/7/2018 1:12,1242,1095.61,23,2ba479b409011527
Dustin Neace,1145.64,9/28/2013 1:26,1211.67,1107.02,52,e503aa5c252a1b4d
Murad Chunkaiev,1144.82,4/22/2017 3:36,1280.24,1123.82,12,d4a12dfa4067742f
Sheila Gaff,1144.82,10/1/2016 1:26,1235.8,1099.65,19,837d30395faca41e
Rachael Ostovich,1144.64,7/6/2018 1:26,1233.75,1081.85,16,01784fbc27c68b14
Fiona Muxlow,1143.84,4/5/2013 2:38,1188.96,1113.4,9,062e57ca1a3c95a8
Jason Tan,1143.51,5/24/2008 0:28,1193.96,1160.53,8,ad3041e61896b975
Roger Carroll,1143.5,2/16/2018 0:00,1294.6,1181.43,33,572a89dbe1f76761
Pete Sell,1143.38,9/25/2015 2:24,1290.67,1185.22,19,0359313549d230a1
Sam Greco,1143.11,9/7/2005 0:00,1143.11,1118.86,5,6d12031661db8ac8
Pawel Nastula,1142.54,12/6/2014 1:55,1211.98,1267.84,11,154a6b3ffae264cd
Vaughan Lee,1142.41,3/24/2018 2:38,1291.58,1155.49,29,8bb6f4479685bbcc
Kenji Arai,1142.14,12/5/2010 3:50,1238.24,1106.11,35,269d103c96a4c3a5
Joe Stevenson,1142.07,2/14/2017 0:00,1566.17,1187.68,53,79899ecf62020f6d
Brandon Wolff,1142.06,6/4/2010 3:36,1271.78,1143.93,12,aa79d5399571068e
David Lee,1142.05,3/12/2016 2:52,1215.33,1122.98,24,8caca5857ce0e30b
Justin Haskins,1141.91,6/4/2011 2:24,1194.69,1154.06,13,77940e45bc86208e
Kyle Dietz,1141.89,12/19/2009 0:28,1232.04,1045.07,9,31da66df48c0c1a0
Hidetaka Monma,1141.2,4/29/2014 1:12,1310.8,1139.16,33,a8e133139286df84
Anthony Njokuani,1140.88,6/11/2016 0:57,1405.13,1219.61,29,6bf5a7d3e081ade2
Sidney Silva,1140.87,11/4/2011 0:28,1243.47,1093.78,12,a6c32678efd4f434
Marcus Jones,1140.85,12/5/2009 1:26,1268.17,1115.22,9,8fa2b06572365321
Willie Gates,1140.84,9/2/2017 2:38,1272.77,1084.54,20,6ded9184b2284645
Mike Malott,1140.78,2/3/2017 2:38,1167.17,1080.01,7,dd6103dd7127db1d
Phil Baroni,1140.32,5/4/2018 1:40,1307.59,1230.02,34,1652f3213655b935
Dave Galera,1140.19,1/4/2014 0:57,1205.9,1033.77,6,0876d21328cf4a45
Kelly Faszholz,1140.13,5/20/2017 1:12,1165.46,1103.68,8,9c42a0de8e012870
James Thompson,1139.74,12/15/2017 0:28,1311.83,1166.51,38,9e30f69cc0869301
Yuki Sasaki,1137.99,4/14/2017 0:43,1350.64,1154.23,49,e5c38954c006f15c
Ricky Johnson,1137.97,8/4/2012 0:57,1137.97,1019.66,3,fa2fca260beeb9c0
Dennis Olson,1137.92,3/11/2016 2:09,1312.02,1162.41,25,8e0709784259402d
Brad Mitchell,1137.52,3/27/2015 0:43,1205.52,1084.05,9,7263e0dc082adc87
Edilberto de Oliveira,1137.48,3/16/2018 1:55,1369.66,1172.17,49,afdb76fbd86f6d11
Lodune Sincaid,1137.08,3/20/2010 1:40,1278.92,1134.54,25,265589bdd93e7ce5
Drew Fickett,1136.38,3/14/2014 2:24,1540.81,1203.25,63,d814f5192e58fb2f
Rick Davis,1136.22,5/27/2006 0:14,1176.78,1168.78,5,2549d63da9c456cb
Brodie Farber,1135.93,12/5/2015 1:26,1303.92,1070.91,23,91d73ee59347ac16
Tateki Matsuda,1135.91,7/1/2018 2:24,1230.38,1121.05,23,3a524c6700addc24
Jumabieke Tuerxun,1135.54,10/5/2018 1:55,1402.37,1149.03,30,1ed32eaaba9ffe10
Luc Bondole,1135.54,7/20/2018 1:26,1225.19,1088.97,14,8691881b31c16b88
Kazuyuki Fujita,1135.46,8/18/2018 0:00,1357.4,1209.23,31,b1605ea39fba6af6
Chris Beal,1135.12,2/25/2012 1:40,1135.12,1016.67,3,55f446032177b119
Jong Man Kim,1135.11,6/29/2013 1:55,1385.14,1116.18,36,dba230fe33011201
Mike French,1134.46,7/27/2013 2:52,1169.48,1184.72,17,756f45905fb20cb5
Kevin Ferguson,1134.41,2/19/2016 2:52,1154.28,1100.11,11,27541033b97c076d
Hector Aldana,1134.21,6/23/2018 1:26,1215.33,1104.01,7,c487223b0289bda9
Sam Spengler,1134.03,5/14/2016 0:57,1149.33,1020.93,14,221b2a3070c7ce3e
Daniel Gallemore,1133.93,7/19/2018 0:14,1256.66,1152.31,13,96706c75a2b14164
Steve Cantwell,1132.58,2/26/2012 0:43,1328.42,1220.76,13,f1f9e48a0d150757
Rudy Bears,1132.56,11/4/2016 2:09,1351.91,1206.64,31,74f13066b1417ef3
TJ Hepburn,1132.53,10/23/2015 0:14,1256.74,1040.81,9,e1acbb6352ca3551
Jerrel Venetiaan,1132.4,3/16/2003 0:57,1132.4,1125.71,8,602bb270f2bdbf02
Phil Hawes,1131.7,8/1/2017 1:12,1186.37,1093.38,7,547afe1017e72dbe
John Albert,1131.62,7/27/2013 0:14,1266.25,1141.47,16,7bd94b60d7521e4a
Josh Clopton,1130.75,8/3/2013 0:43,1233.36,1127.65,10,48e96d9cea6d4ab0
Byron Bloodworth,1130.44,12/29/2012 1:26,1181.94,1098.08,10,ecdf14f4f8643d39
Rodolfo Rubio,1130.33,2/17/2018 1:55,1324.42,1118.35,31,c4731f43693b96b8
Kevin Roddy,1130.13,10/23/2015 1:12,1214.8,1109.31,33,1abf785143f8d5ec
Andy Wang,1130.05,8/12/2017 2:09,1148.41,1098.9,20,476414d2f18cd059
Jeff Joslin,1128.52,12/13/2006 1:55,1147.48,1125.45,8,388abbf8832b5adf
Sean Wilson,1128.51,3/6/2010 0:14,1128.51,988.27,3,b8e6393c39cb9740
Daiju Takase,1127.79,7/25/2015 3:07,1243.66,1149.58,29,4f74c8be51db8a37
Everett Sims,1127.72,8/8/2017 0:14,1158.67,1053.9,5,59c6d5af765df641
Galore Bofando,1127.58,12/16/2017 1:12,1140.57,1077.64,8,8a56ea383fd26e52
Scott Junk,1127.45,9/25/2011 1:26,1249.77,1088.86,14,ac70a4f1db1b8c40
Nate Mohr,1127.41,6/19/2009 2:24,1213.99,1105.35,17,04c15b52c3cc1cab
Crosley Gracie,1127.32,8/5/2006 1:55,1167.99,1376.87,4,52d92050a046bc17
Will Chope,1127.02,7/7/2018 2:38,1416.18,1080.93,50,db5dc7cb80d7d418
Kevin Randleman,1126.9,5/7/2011 2:38,1382.18,1253.4,33,6859f67468ba8489
Fredy Serrano,1126.86,5/19/2018 0:00,1154.91,1165.71,7,0ccab7c889ede9ea
Josh LaBerge,1126.59,10/27/2017 1:26,1274.71,1078.71,17,5108b169b5fe1f86
Thomas Denny,1126.26,7/13/2013 2:52,1354.39,1099.95,49,a11a6ee8eeb03c18
George Pacurariu,1126.1,11/20/2015 1:26,1196.03,1073.1,14,c51da79b0346b5b7
Luke Stewart,1126.02,3/26/2010 1:40,1237.94,1125.8,9,27b1a406ac171b19
Elvis Sinosic,1125.93,12/1/2007 2:24,1191.81,1201.18,21,817e0bdf08efce2e
Jeff Newton,1125.57,11/19/2005 0:43,1171.14,1089.87,6,94609dd91731d428
Jeff Monson,1125.52,10/22/2016 1:12,1584.93,1173.41,87,cbfd1d34356a004c
Albert Cheng,1125.42,2/11/2017 3:21,1161.41,1077.66,13,d8d7b24d276c8cb0
Max Mustaki,1125.3,7/10/2018 0:14,1195.46,1087.6,9,f4c40f8a64d3151d
Emilio Chavez,1124.39,11/4/2017 1:55,1224.37,1120.36,22,84e8920e59ff14a7
Andrews Nakahara,1124.29,3/18/2017 0:14,1182.59,1236.7,11,7a9ca95a92d7b64c
George Bush,1122.84,3/26/2010 1:55,1195.04,1087.16,7,f0c779dc2ca3816c
Alex Karalexis,1122.65,6/10/2011 1:55,1284.59,1162.09,17,e361e5c858af6ff1
Marcos Vinicius,1122.64,5/27/2017 2:38,1171.22,1047.85,5,e363b21261814830
Charlie Kohler,1122.45,5/12/2007 1:26,1146.66,1035.12,13,5717efc6f271cd52
Tom Erikson,1121.47,8/1/2008 1:40,1300.71,1119.51,14,7b9a85e5ff31ef47
Jeff Cox,1120.79,4/11/2009 2:38,1281.69,1135.23,18,c9bbf1a0285a8076
Cody McKenzie,1120.47,10/14/2017 1:40,1374.32,1178.8,32,7be63795363029e8
Richie Hightower,1120.42,5/7/2010 1:12,1263.91,1088.41,15,318e629d1eb7aa49
Gina Mazany,1120.25,5/27/2018 0:57,1160.73,1105.61,8,016a8d958883167c
Seth Dikun,1119.12,8/8/2015 2:09,1231.42,1178.1,16,eb42d4febfafefd1
Andy Ologun,1119.09,12/31/2010 0:14,1119.09,1080.91,4,e96d8538d3f9d0ed
Darrill Schoonover,1117.88,10/23/2015 2:09,1378.1,1131.64,24,5a558ba1ff5e9121
Phil Cardella,1117.67,9/12/2009 1:26,1240.31,1100.66,13,f6a7b02c42e9fc5b
Milana Dudieva,1117.63,3/24/2018 1:40,1259.74,1084.23,19,072a10e85f7d4bff
CJ Keith,1117.54,6/17/2016 0:14,1320.82,1123.63,12,c0eecd851dbf3146
Ross Ebanez,1117.22,11/14/2014 0:57,1329.62,1119.62,33,a5b0bd216d8ba84e
Kyle Bolt,1117.14,11/15/2014 1:26,1187.04,1049.01,12,9d455d5cfe6a0e35
Ron Fields,1116.88,11/14/2014 1:12,1277.64,1105.01,68,6e380a4d73ab4f0e
Peter Petties,1116.22,5/4/2018 2:09,1166.6,1129.97,11,7ea5d60d2e6a8ad0
Vernon White,1115.84,3/20/2010 2:09,1344.66,1118.99,62,12458872d6afae1b
Besam Yousef,1115.19,11/29/2014 2:09,1191.03,1089.73,12,98ec9f385cca47fc
Rodney Wallace,1115.12,9/10/2017 2:24,1482.91,1244.54,43,b9415726dc3ec526
Shane Primm,1115.11,9/18/2010 0:28,1221.58,1122.33,15,5114f1b5ad4cdf72
Aaron Phillips,1115.01,2/28/2015 0:57,1229.37,1076.79,11,34c2b3656f88f7ef
Masio Fullen,1114.82,3/31/2017 3:07,1183.72,1090.69,19,4638cc6479cc0afe
Sean Alvarez,1114.24,4/25/2003 1:12,1139.91,1139.31,7,e741536153227386
Peggy Morgan,1113.29,7/29/2016 0:57,1221.02,1128.35,12,92b36014314b028b
Paul Georgieff,1113.24,12/8/2007 0:14,1257.53,1118.6,9,2f1700b3a4a09bc7
Mychal Clark,1112.71,9/7/2013 1:12,1206.8,1148.98,24,69108cb8b32efe04
Jamie Moyle,1112.62,7/7/2018 0:14,1306,1119.53,15,882d62561063a927
Steve Byrnes,1112.28,1/27/2008 0:43,1216.88,1044.67,8,43612456979e5d5e
Joseph Sandoval,1111.2,5/19/2018 3:36,1246.24,1157.54,15,696002b59f09d73b
Richardson Moreira,1110.87,6/13/2015 3:50,1217.13,1120.66,13,9147679e1a4ad4a3
Richie Vaculik,1110.21,8/20/2017 0:57,1322.9,1170.02,17,54578e5927adea53
Fabian Gonzalez,1109.84,1/16/2015 0:28,1171.63,1011.35,8,69c071bc2621e8b0
Giga Chikadze,1109.58,6/19/2018 0:43,1137.86,998.47,7,9560ff14eb3129f7
Jamelle Jones,1109.09,8/8/2017 1:12,1206.43,1084.24,13,1dda22d0ac3d1271
Brad Morris,1108.33,11/13/2010 2:09,1259.58,1101.34,16,6803d4d6908354ac
Alavutdin Gadjiev,1107.7,3/24/2012 1:55,1355.04,1100.46,30,a7a79b8efbceaaac
Jessica Rakoczy,1107.69,4/25/2015 0:28,1194.18,1139.73,10,ffdeb4fbea09ce75
Antonio Schembri,1107.55,12/5/2008 1:40,1199.99,1197.59,10,a3244e3238541482
Shamar Bailey,1107.3,10/4/2014 2:38,1361.78,1163.17,30,e2b8186b618b00c4
Herschel Walker,1107.02,1/29/2011 2:38,1107.02,1049.05,2,bd92e38aef641673
DaMarques Johnson,1106.2,8/7/2015 2:24,1379.29,1195.59,33,322a56923b396b4d
James Hammortree,1106.04,4/28/2012 1:26,1228.91,1141.24,12,1f77fce698e80488
Richard Dalton,1105.47,1/24/2008 0:57,1109.51,1116.19,7,6cd3dfc54f01287f
Elizabeth Phillips,1105.4,11/16/2017 2:38,1179.16,1059.03,18,dcbf01d605681ad1
Andre Walker,1105.06,6/7/2018 0:43,1105.06,989.83,5,18944a1a6ac1becf
Jorge Ortiz,1104.98,3/10/2012 1:55,1318.58,1086.32,29,9c5828c6fd9dc948
Frank Gomez,1104.76,9/8/2012 2:38,1283.8,1133.47,16,a0a680fe2f6cc8e6
Johnny Sampaio,1103.7,5/12/2007 0:28,1150.03,1078.06,4,b23388ff8ac6637b
Mike Massenzio,1103.66,4/5/2013 1:55,1341.21,1173.14,22,5b2d7906aa894274
Kerry Schall,1103.16,3/20/2013 0:00,1292.11,1104.44,40,030f08370fd1c2bb
Sean McCorkle,1100.7,9/20/2014 1:55,1347.6,1077.72,24,008dc37cca279def
Wuliji Buren,1100.5,8/4/2018 0:14,1231.55,1078.23,14,2296125b6c362355
Leonardo Silva,1100.15,12/3/2015 0:14,1100.15,1025.51,2,28e088bbcaaa6366
Kengo Ura,1099.86,9/25/2016 0:43,1204.44,1104.93,27,58258914525740a5
Ewerton Teixeira,1099.86,9/25/2015 2:09,1132.62,1071.67,4,de9e331b3e6bae70
Kyle Bradley,1099.53,1/9/2016 1:12,1348.11,1111.2,32,a6959da32f0e6b5d
Scott Graham,1099.52,12/8/2006 0:43,1100,1047.77,4,6e4acc2c115215b5
Chanmi Jeon,1098.63,9/22/2017 0:43,1178.81,1048.28,7,24174a3f44ce8e03
Alexis Dufresne,1098.07,3/3/2017 0:28,1174.09,1069.7,9,4ae4049426e0161d
Chris Tickle,1097.47,6/4/2016 2:24,1240.93,1113.24,24,1d1b85389a05df69
Achmed Labasanov,1096.83,6/23/2002 0:28,1204.43,1071.5,11,b3fb8d2293e17a59
Troy Mandaloniz,1096.71,2/21/2009 0:14,1127.3,1116.7,7,725a834930c2b5bf
Shayna Baszler,1096.62,2/25/2017 0:43,1338.29,1162.22,28,8ef4a91ac694b7ce
Anna Elmose,1096.54,11/19/2016 1:26,1184.62,1090.49,6,1536a25e16fc299b
Stephanie Webber,1095.53,6/22/2012 1:26,1148.11,1029.02,7,d44a84409bf0da64
Ron Faircloth,1095.36,5/28/2011 2:24,1321.36,1062.22,58,453ee00c3e1ae9dd
Veronica Macedo,1095.23,5/19/2018 2:09,1249.15,1051.53,10,4798e823ada58fe9
Walel Watson,1094.74,9/28/2017 0:43,1303.36,1140.85,25,92aafa8f4b26269b
Johil de Oliveira,1094.64,6/9/2012 2:09,1351.69,1101.02,34,f9aa6376ae16bfb4
Jens Pulver,1094.15,11/23/2013 2:52,1442.43,1177.92,51,44260175069b6276
Dustin Pague,1093.57,9/4/2015 1:55,1382.08,1164.71,28,55f80a8aeffcdb33
Jarjis Danho,1092.91,9/3/2016 0:43,1197.83,1145.49,9,8614b7134913f5d5
Paul Creighton,1092.64,5/10/2002 1:26,1135.37,1059.58,4,ed73c85164a5f5a4
Josh Diekmann,1092.51,11/4/2016 1:12,1276.5,1107.27,25,414bddf0c80c41e1
Won Sik Park,1092.14,12/10/2016 2:09,1258.86,1122.43,18,9df394db5ca103eb
Jan Finney,1091.91,11/22/2017 0:00,1209.1,1114.66,24,3317823959d32a05
Greg McIntyre,1091.85,5/7/2010 1:26,1091.85,1087.38,8,00a905a4a4a2b071
Don Frye,1091.49,12/11/2011 3:50,1421.83,1101.29,31,271fe91f4ba9d2c5
Wes Sims,1090.38,9/1/2013 2:52,1302.52,1068.31,42,e0f7c4f3f67bc808
Matt Arroyo,1090.3,1/31/2009 0:14,1206.13,1081.63,8,de62052b2ede65ba
John Marsh,1089.83,11/30/2007 2:24,1242.2,1163.37,15,b6b12014698cc345
Eric Lawson,1088.43,11/18/2011 2:38,1304.88,1074.97,14,38e5d9dcb0fddc42
Josh Rafferty,1087.49,9/9/2010 0:28,1191.12,1102.19,19,ff2c606c8bc365e3
Hong Man Choi,1085.96,9/24/2016 1:55,1108.86,1225.87,9,2c104b7e59a72629
Tiffany Masters,1085.76,1/13/2018 0:43,1197.99,1026.08,10,ca743f96dd2063d5
Joe Hurley,1085.62,11/4/2006 2:52,1317.2,1058.33,17,21b54430c8eeb9cc
Chris Haseman,1085.33,3/9/2012 2:52,1293.55,1117.36,37,5bd533d50c8e7b8a
Wagner da Conceicao Martins,1084.51,6/2/2018 2:09,1228.24,1181.22,19,563d051c9e769b24
Josh Hendricks,1084.18,3/14/2014 2:09,1393.79,1122.32,31,7649c4c95b824488
Gary Goodridge,1083.41,12/17/2010 2:38,1400.4,1187.17,46,fbbde91f7bc2d3c5
Rex Holman,1082.5,3/3/2007 0:57,1120.05,1032.55,6,b5ea750025697880
Michael Cora,1081.58,2/16/2018 1:12,1206.65,1166.71,8,2b91eff985b532cd
Mark Vorgeas,1080.36,1/26/2018 1:55,1155.64,1061.59,10,ef0344ed552d8a22
Gabrielle Holloway,1080.3,3/3/2017 0:28,1209.17,1078.78,12,e30715382f42b772
George Zuniga,1078.89,2/13/2015 0:28,1120.3,1022.22,4,1291dd6b8ab4d952
Rob MacDonald,1078.67,2/20/2009 2:09,1161.22,1159.01,10,f3388d2cf7ab3f64
Cory Peterson,1078.49,9/18/2004 2:52,1078.49,1081.94,3,5df10509264586e5
Rashad Coulter,1078.29,6/9/2018 1:12,1225.18,1033.75,12,d1528ac5675558b1
Josh Smith,1076.58,10/4/2015 2:38,1152.48,1096.72,17,f626aa1c85f8af03
John Halverson,1076.03,8/3/2012 2:09,1263.39,1035.16,27,88c8f47241d90040
Kit Cope,1075.41,6/23/2012 0:43,1092.84,1079.15,13,ce47f49e5c386a9c
Lance Gibson,1075.12,1/12/2002 1:26,1155.63,1155.62,9,63eedfcc73071d41
Cristina Stanciu,1075.07,12/15/2017 0:57,1228.2,1068.74,9,175852708cb55776
Kenneth Alexander,1074.29,8/3/2013 1:55,1168.07,1113.36,14,8fd76e1b49c00ae2
Jared Rollins,1074.16,12/8/2007 1:40,1203.64,1066.59,13,c4b6099f0d25f75e
Igor Gracie,1073.7,3/23/2013 0:57,1173.37,1069.01,9,722b870449243083
Ray Routh,1073.13,7/6/2006 1:12,1073.13,1084.46,3,cba3a2dfbc06ce79
Jason Glaza,1073.08,11/28/2015 3:07,1073.08,1057.08,5,fda067e842b07466
Kevin Jordan,1072.84,11/24/2010 2:09,1308.18,1108.77,24,02e52b3a595f0786
Alexander Otsuka,1072,12/25/2011 0:14,1072,1219.67,18,865aa315ea62c511
Antonio Mendes,1071.78,3/2/2013 1:55,1389.7,1135.86,31,3795fca327cbcf23
Emily Whitmire,1071.08,7/7/2018 0:14,1071.08,1076.8,12,b3d21b2610dcfaeb
Alex Torres,1070.35,9/7/2018 0:00,1117.15,1121.17,11,e4e0f310b3cf23a8
David Avellan,1069.82,11/5/2008 1:12,1111.91,1099.89,3,956dcac65e7b34d6
Ben Wall,1069.22,6/23/2017 1:40,1290.16,1199.93,17,1ad381c8994c4e5b
Alvaro Herrera,1068.78,7/28/2018 0:14,1168.69,1078.89,16,74d35fbc9c6a61bd
Elias Urbina,1067.5,8/29/2017 0:57,1130.2,1093.96,5,47fcdcaccb58ca80
Julie Kedzie,1066.62,12/7/2013 1:26,1249.44,1108.19,29,981ab7a0576f76a0
